Gene,Non-unique Gene name,Annotation,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1,GCF_000170215.1,GCF_000020745.1,GCF_000022165.1,GCF_000020925.1,GCF_000007545.1,GCF_000020885.1
group_4244,,Presumed portal vertex protein,,,,,,,HFCAGB_02948,GEGEGB_03593,
group_4243,,Presumed capsid scaffolding protein (GpO),,,,,,,HFCAGB_02946,GEGEGB_03595,
group_4241,,hypothetical protein,,IKCLMC_02403,PKJKAM_03145,,,,,,
group_4237,,Site-specific DNA-methyltransferase (adenine-specific),ONMMKP_04108,,PKJKAM_01847,,,,,,
group_4229,,hypothetical protein,,,,,LNHIMF_03212,,,GEGEGB_03241,
faeE~~~clpE,faeE;clpE,Chaperone protein FaeE;Chaperone protein clpE,,,,ODDLKH_00182,LNHIMF_04400,,,,
group_4217,,hypothetical protein;Phage polarity suppression protein (Psu),,,,,LNHIMF_00359,,,,BEJGEH_04561
group_4216,,DNA replication protein,,,,,LNHIMF_00357,,,,BEJGEH_04559
vasL,vasL,type VI secretion system protein VasL,,,,,,,HFCAGB_01191,,BEJGEH_01045
group_4209,,Lipoprotein,,,,,,,,GEGEGB_00774,BEJGEH_02160
group_4208,,DUF943 domain-containing protein,,,,,,,,GEGEGB_00773,BEJGEH_02161
group_4205,,Sel1 repeat family protein,,,,,,,HFCAGB_01211,,BEJGEH_01063
group_4204,,hypothetical protein,,,,,,,HFCAGB_04696,,BEJGEH_04566
group_4201,,Insertion element IS3 family protein;Integrase catalytic domain-containing protein,,,PKJKAM_03880,,,,,,BEJGEH_03501
group_4200,ninF,Protein ninF,ONMMKP_00792,,,,,,HFCAGB_00589,,
group_4199,,Antitermination protein Q,,IKCLMC_02376,PKJKAM_03165,,,,,,
group_4197,,hypothetical protein,,,,,,,HFCAGB_02167,,BEJGEH_01967
group_4195,,hypothetical protein,,,,,,,,GEGEGB_03186,BEJGEH_03126
sefD,sefD;,Putative adhesin SefD;hypothetical protein,,,,,,,HFCAGB_04705,GEGEGB_04776,
group_4194,tnp;,IS3 family IS1230B transposase ORF A;Transposase,,,,,,,HFCAGB_01212,,BEJGEH_01064
group_4183,,DUF1311 domain-containing protein,,,,,,,HFCAGB_01188,,BEJGEH_01036
group_4181,,hypothetical protein,,,,,,,HFCAGB_04709,GEGEGB_04780,
group_4174,,hypothetical protein;site-specific DNA-methyltransferase (adenine-specific),,IKCLMC_03304,,,,,HFCAGB_04752;HFCAGB_04753,,
group_4141,,hypothetical protein,,IKCLMC_02564,,,,AJBGEP_04033,,,
group_4133,,hypothetical protein,,,,,,,,GEGEGB_00105,BEJGEH_00102
group_4130,,hypothetical protein,,IKCLMC_04284,,,,,,,BEJGEH_01962
group_4129,dnaT,DnaT DNA-binding domain-containing protein,,IKCLMC_01602,,,,,HFCAGB_01357,,
group_4117,,hypothetical protein,,,,,,,HFCAGB_01187,,BEJGEH_01035
group_4116,,Lysozyme inhibitor LprI-like N-terminal domain-containing protein,,,,,,,HFCAGB_01185,,BEJGEH_01033
group_4107,,Thiol:disulfide interchange protein,,,,,,,HFCAGB_04710,GEGEGB_04781,
group_4098,,Transposase for transposon Tn21;Putative transposase,,,PKJKAM_04038,,LNHIMF_04684,,,,
group_4082,,hypothetical protein,,IKCLMC_01600,,,,,HFCAGB_01355,,
group_4080,,hypothetical protein,,IKCLMC_04318,PKJKAM_04322,,,,,,
group_4062,,Replication protein,,IKCLMC_00215,,,,,HFCAGB_01358,,
group_4060,,hypothetical protein,,IKCLMC_03305,,,,,HFCAGB_04751,,
mazZ,mazZ,dATP/dGTP diphosphohydrolase MazZ domain-containing protein,,,,,,,HFCAGB_01064,GEGEGB_02014,
group_4046,,hypothetical protein;Secreted protein,,,,,,,,GEGEGB_00771,BEJGEH_02164
group_4036,,hypothetical protein,,,,,,,,GEGEGB_03190,BEJGEH_03130
group_4026,tnp;,ISNCY family ISSen7 transposase;Transposase (putative) YhgA-like domain-containing protein,,,,,,AJBGEP_04860,HFCAGB_04827,,
group_4004,,IS200/IS605 family transposase,,,,,,AJBGEP_04841,HFCAGB_04846,,
group_3985,,Serine acetyltransferase,ONMMKP_02588,,,ODDLKH_00055,,,,,
group_3982,,Tail assembly protein,,,,,,AJBGEP_01045,HFCAGB_01391,,
group_3968,,hypothetical protein,,,,,,,HFCAGB_01215,,BEJGEH_01067
group_3966,ydiV,Anti-FlhC(2)FlhD(4) factor YdiV,,,,,,AJBGEP_04835,HFCAGB_04850,,
group_3955,,hypothetical protein;PTS system glucose-specific EIICB component,,,,ODDLKH_03167,,AJBGEP_02903;AJBGEP_02904,,,
group_3953,,hypothetical protein;NERD domain-containing protein,,,,,,,,GEGEGB_04134,BEJGEH_03626
group_3946,,DUF968 domain-containing protein,,,,,,AJBGEP_02134,HFCAGB_02203,,
group_3940,,Tyrosine-type recombinase/integrase,,,,,LNHIMF_02083,,,,BEJGEH_02024
group_3928,,hypothetical protein;Mutator family transposase,,,,,,,HFCAGB_02659,GEGEGB_00504;GEGEGB_00505,
group_3926,,Bactoprenol-linked glucose translocase,,,,,,,HFCAGB_02656,GEGEGB_00508,
group_3900,,Phage protein,ONMMKP_00751,,,,LNHIMF_00606,,,,
group_3886,,Peptidase M60 domain-containing protein,,,,,LNHIMF_00218,,HFCAGB_00222,,
group_3839,,hypothetical protein,,,,,LNHIMF_02089,,,,BEJGEH_02030
malI,malI;,Maltose regulon regulatory protein MalI;hypothetical protein,,,,,LNHIMF_01516,,,,BEJGEH_01620
group_3791,,Cytoplasmic protein,ONMMKP_02769,,PKJKAM_01489,,,,,,
group_3788,,hypothetical protein,,IKCLMC_02951,,,,,,GEGEGB_04268,
group_3779,,DUF1441 domain-containing protein,,,,,,AJBGEP_01027,HFCAGB_01373,,
group_3775,,Lipoprotein,ONMMKP_02998,,,,,,,,BEJGEH_03879
group_3766,,hypothetical protein;Glycosidase,,IKCLMC_02895,,,,,,,BEJGEH_03543
group_3758,,hypothetical protein,,,,,,AJBGEP_00832,,GEGEGB_02160,
group_3757,tnp,IS200/IS605 family IS200F transposase,,,,,,AJBGEP_03463,,GEGEGB_03623,
group_3756,tnp,IS200/IS605 family IS200F transposase,,,,,,AJBGEP_00834,,GEGEGB_02159,
group_3755,tnp,IS200/IS605 family IS200F transposase,,,,,,AJBGEP_03652,,GEGEGB_01939,
group_3754,tnp,IS200/IS605 family IS200F transposase,,,,,,AJBGEP_01230,,GEGEGB_01773,
group_3753,tnp,IS200/IS605 family IS200F transposase,,,,,,AJBGEP_01772,,GEGEGB_01677,
group_3752,tnp,IS200/IS605 family IS200F transposase,,,,,,AJBGEP_02054,,GEGEGB_01266,
group_3751,tnp,IS200/IS605 family IS200F transposase,,,,,,AJBGEP_01909,,GEGEGB_01173,
group_3750,tnp,IS200/IS605 family IS200F transposase,,,,,,AJBGEP_02641,,GEGEGB_00494,
group_3749,tnp,IS200/IS605 family IS200F transposase,,,,,,AJBGEP_00071,,GEGEGB_00261,
group_3748,tnp,IS200/IS605 family IS200F transposase,,,,,,AJBGEP_00939,,GEGEGB_00250,
group_3741,,DUF968 domain-containing protein,,,,ODDLKH_02737,,AJBGEP_02403,,,
group_3740,tnp,IS6 family IS15DII transposase,,,PKJKAM_04022,,LNHIMF_04724,,,,
group_3739,tnp,IS6 family IS15DII transposase,,,PKJKAM_04026,,LNHIMF_04721,,,,
group_3738,tnp,IS6 family IS15DII transposase,,,PKJKAM_03942,,LNHIMF_04716,,,,
group_3737,tnp,IS6 family IS15DII transposase,,,PKJKAM_04040,,LNHIMF_04688,,,,
group_3736,tnp,IS3 family IS1230B transposase ORF A,,,PKJKAM_03434,,,,HFCAGB_00344,,
group_3735,,Transposase,,,PKJKAM_02671,,,,,,BEJGEH_00226
group_3734,,hypothetical protein,,IKCLMC_04323,PKJKAM_04326,,,,,,
group_3731,,Lipocalin-like domain-containing protein,,IKCLMC_00940,,,,AJBGEP_01272,,,
group_3730,,Tail component of prophage CP-933K,,IKCLMC_00338,,,,AJBGEP_02769,,,
group_3728,,hypothetical protein,,IKCLMC_00337,,,,AJBGEP_02770,,,
group_3727,,Phage tail tape measure protein,,IKCLMC_00248,,,,AJBGEP_02773,,,
group_3726,,DUF2441 domain-containing protein,,IKCLMC_00943,,,,AJBGEP_01275,,,
group_3725,,hypothetical protein,,IKCLMC_00942,,,,AJBGEP_01274,,,
group_3724,ydaT,Bacterial toxin YdaT domain-containing protein,,IKCLMC_01601,,,,,HFCAGB_01356,,
group_3718,,Prophage bactoprenol-linked glucose translocase-like protein,ONMMKP_01598,,,,,,HFCAGB_00651,,
group_3713,tnp,IS3 family ISSen1 transposase ORF A,,,PKJKAM_03881,,,,,,BEJGEH_03503
group_3711,,DNA-binding protein,,IKCLMC_00293,,,,AJBGEP_02813,,,
group_3710,,DNA-binding protein,ONMMKP_01126,,,,,AJBGEP_01255,,,
group_3707,,DUF1367 domain-containing protein,,IKCLMC_00220,,,,AJBGEP_02807,,,
group_3706,,Phage protein,,IKCLMC_00300,,,,AJBGEP_02806,,,
group_3686,tnpB,IS200/IS605 family element transposase accessory protein TnpB,,IKCLMC_01197,,,,AJBGEP_02778,,,
group_3684,,Phage tail protein,,IKCLMC_01198,,,,AJBGEP_02777,,,
group_3682,,BIG2 domain-containing protein,,IKCLMC_00245,,,,AJBGEP_02776,,,
group_3680,,Phage minor tail protein G,,IKCLMC_00246,,,,AJBGEP_02775,,,
group_3678,,Gifsy-1 prophage protein,,IKCLMC_00247,,,,AJBGEP_02774,,,
group_3676,,Gifsy-1 prophage protein,,IKCLMC_00335,,,,AJBGEP_02772,,,
group_3675,,Gifsy-1 prophage protein,,IKCLMC_00336,,,,AJBGEP_02771,,,
group_3674,,Host specificity protein J,,IKCLMC_01207,,,,AJBGEP_02768,,,
group_3673,,hypothetical protein,,IKCLMC_00019,,,,AJBGEP_01303,,,
group_3629,,hypothetical protein,,,,,,5_refound_61,,GEGEGB_01940,
group_3622,,hypothetical protein,,,,,,5_refound_59,,GEGEGB_00262,
group_3603,,DNA packaging protein,,IKCLMC_01194,,,,5_refound_56_pseudo,,,
repA,repA,RepA leader peptide Tap,,,,,,AJBGEP_04810,HFCAGB_04875,,
group_3587,,hypothetical protein,,,,,,,HFCAGB_01186,,BEJGEH_01034
group_3574,,hypothetical protein,,IKCLMC_00946,,,,AJBGEP_01278,,,
group_3572,,hypothetical protein,,,,ODDLKH_02739,,AJBGEP_02405,,,
group_3565,,hypothetical protein,,,,,,,,GEGEGB_04742,8_refound_96
group_3560,,hypothetical protein,,IKCLMC_02354,PKJKAM_03187,,,,,,
group_3553,,Integrase,0_refound_3_pseudo,,,,LNHIMF_04095,,,,
group_3544,,hypothetical protein,ONMMKP_04176,,,,,,,7_refound_77,
group_3539,,hypothetical protein,,,2_refound_26,,,,HFCAGB_01406,,
group_3532,,hypothetical protein,,,,,,AJBGEP_04849,HFCAGB_04838,,
group_3514,,hypothetical protein,,,,,,AJBGEP_02100,HFCAGB_02170,,
group_3511,,Cytoplasmic protein,,,,3_refound_36,,AJBGEP_00992,,,
group_3508,,Host cell division inhibitory peptide Kil,,IKCLMC_02355,PKJKAM_03186,,,,,,
group_3503,,hypothetical protein,ONMMKP_04696,1_refound_11_pseudo,,,,,,,
group_3501,,hypothetical protein,,,,,,,HFCAGB_04022,7_refound_83,
group_3486,,Prophage protein,ONMMKP_00774,,PKJKAM_03178,,,,,,
group_3482,,hypothetical protein,,,,,,AJBGEP_04847,HFCAGB_04840,,
group_3477,,hypothetical protein,,IKCLMC_02356,PKJKAM_03185,,,,,,
group_3467,,DUF2737 domain-containing protein,,IKCLMC_02350,PKJKAM_03191,,,,,,
group_3465,,DUF2737 domain-containing protein,ONMMKP_00790,,,,,,HFCAGB_00591,,
group_3463,,hypothetical protein,,,2_refound_27,,,,,GEGEGB_02981,
group_3460,,hypothetical protein,,,,,,AJBGEP_04806,6_refound_68_pseudo,,
group_3455,,hypothetical protein,,IKCLMC_04327,PKJKAM_04330,,,,,,
group_3449,,hypothetical protein,0_refound_4,,,,,,HFCAGB_00588,,
group_3447,,hypothetical protein,,IKCLMC_02371,PKJKAM_03170,,,,,,
group_3433,,hypothetical protein,ONMMKP_00749,,,,LNHIMF_00608,,,,
group_3431,,L-arabinose transporter permease protein,,,,,,AJBGEP_02027,6_refound_67_pseudo,,
group_3430,,ABC transporter domain-containing protein,,,,,LNHIMF_04390,,,,BEJGEH_04371
group_3428,,hypothetical protein,,,,ODDLKH_03169,,AJBGEP_02906,,,
group_3423,,hypothetical protein,,,,,,,HFCAGB_04711,GEGEGB_04782,
group_3417,,hypothetical protein,,IKCLMC_01213,,,,AJBGEP_02762,,,
group_3415,,hypothetical protein,ONMMKP_00758,,PKJKAM_03162,,,,,,
group_3388,,Host cell division inhibitor Icd-like protein,,1_refound_15,,,,,HFCAGB_04756,,
group_3361,,Tail protein X,,,,,,,HFCAGB_02942,GEGEGB_03599,
group_3359,,Fimbrial protein,,IKCLMC_04326,PKJKAM_04329,,,,,,
group_3349,,Primosomal replication protein PriB/PriC domain protein,,,,,,AJBGEP_01029,HFCAGB_01375,,
group_3337,pefI,transcriptional regulator PefI,,,,,,,HFCAGB_04707,GEGEGB_04778,
group_3328,,Cytoplasmic protein,,,,,,,HFCAGB_01204,,BEJGEH_01058
group_3327,,hypothetical protein,,,,,,AJBGEP_04845,HFCAGB_04842,,
group_3314,,Secretory protein,,,,,,,HFCAGB_02941,GEGEGB_03600,
group_3312,alpA,AlpA family transcriptional regulator,,,,ODDLKH_03153,,AJBGEP_02889,,,
group_3310,,Secreted protein,,IKCLMC_04913,,,,,,,BEJGEH_01804
group_3299,,DNA-binding protein,,,,,,,HFCAGB_02257,,BEJGEH_01992
group_3297,,hypothetical protein,,,,,,AJBGEP_04830,HFCAGB_04855,,
group_3277,,Helix-turn-helix transcriptional regulator,,,,,,AJBGEP_02145,HFCAGB_02214,,
group_3276,,Phage protein,,,,,,AJBGEP_02140,HFCAGB_02209,,
group_3272,ninY,Putative protein ninY,,IKCLMC_02373,PKJKAM_03168,,,,,,
group_3266,,hypothetical protein,,,,,,5_refound_60_pseudo,,GEGEGB_01675,
group_3262,,DUF4224 domain-containing protein,,,,,,AJBGEP_02155,HFCAGB_02226,,
group_3244,,hypothetical protein,,,,ODDLKH_02738,,AJBGEP_02404,,,
group_3235,,hypothetical protein,,,,,,,HFCAGB_02778,,8_refound_95_pseudo
group_3230,,Transcriptional regulator,,,,,,,HFCAGB_01057,GEGEGB_02021,
group_3221,,Helix-turn-helix domain-containing protein,,,,,LNHIMF_02192,AJBGEP_01007,,,
group_3206,,Relaxase,,,PKJKAM_04037,,LNHIMF_04683,,,,
group_3204,,hypothetical protein,,IKCLMC_01208,,,,AJBGEP_02767,,,
group_3202,,Helix-turn-helix domain-containing protein,,IKCLMC_00292,,,,AJBGEP_02814,,,
copB,copB,Protein CopB,,,,,,AJBGEP_04808,HFCAGB_04877,,
group_3170,,hypothetical protein,,,,,,AJBGEP_01038,HFCAGB_01384,,
group_3162,,Bactoprenol glucosyl transferase from prophage CPS-53,,,,,,,HFCAGB_02657,GEGEGB_00507,
group_3138,,hypothetical protein,,IKCLMC_00977,,,,AJBGEP_01308,,,
sty3281,sty3281,STY3281 family bacteriocin immunity protein,,,,,,,,GEGEGB_03188,BEJGEH_03128
group_3115,tnp,IS3 family IS1351 transposase ORF A,,,,,,,HFCAGB_02969,,BEJGEH_04583
group_3113,,Bacteriophage protein,,,,,,,HFCAGB_01065,GEGEGB_02013,
group_3112,,Gifsy-2 prophage ATP-binding sugar transporter-like protein,,,,,,AJBGEP_01033,HFCAGB_01379,,
group_3109,tnp,IS3 family IS1351 transposase ORF A,,,,ODDLKH_03178,,AJBGEP_02915,,,
group_3099,,Prophage protein,,,,,LNHIMF_02186,AJBGEP_01013,,,
group_3098,,Zinc finger Ogr/Delta-type domain-containing protein,ONMMKP_04111,,PKJKAM_01850,,,,,,
group_3090,,Transposase,0_refound_2,,,,LNHIMF_00624,,,,
group_3063,,Bacteriocin immunity protein,,,,,,,,GEGEGB_03189,BEJGEH_03129
group_3054,,Phage protein,,,,,4_refound_47,,HFCAGB_00612,,
group_3052,,Membrane protein,,,,,LNHIMF_04286,,,GEGEGB_02002,
group_3051,,hypothetical protein,,,PKJKAM_00242,,,,HFCAGB_01400,,
group_3044,,hypothetical protein,,,,ODDLKH_03158,,AJBGEP_02894,,,
group_3042,,Excisionase,,IKCLMC_00115,,,,AJBGEP_02825,,,
group_3019,,Cytoplasmic protein,,,,,,AJBGEP_04832,HFCAGB_04853,,
group_3018,,HTH cro/C1-type domain-containing protein,,,,ODDLKH_03157,,AJBGEP_02893,,,
group_3017,pefB,PefB,,,,ODDLKH_00179,LNHIMF_04397,,,,
group_2975,tnp,IS3 family ISSty2 transposase ORF A,,,,ODDLKH_03181,,AJBGEP_02918,,,
group_2967,,hypothetical protein,,,,,,,,GEGEGB_00769,BEJGEH_02166
group_2962,,Integrase DNA-binding domain-containing protein,,IKCLMC_02024,,,,,,,BEJGEH_02015
group_2954,ccdB,Toxin CcdB,,,,,,AJBGEP_04831,HFCAGB_04854,,
group_2951,,Bacteriophage cohesive ends,,IKCLMC_00219,,,,,HFCAGB_01362,,
group_2945,,Alpha/beta hydrolase,,IKCLMC_00944,,,,AJBGEP_01276,,,
group_2897,,RecA/RadA recombinase,,,,,,AJBGEP_01032,HFCAGB_01378,,
group_2872,,hypothetical protein,,,,ODDLKH_02734,,AJBGEP_02400,,,
group_2855,,Putative minor tail protein,,,,,,AJBGEP_01040,HFCAGB_01386,,
group_2853,,hypothetical protein,,IKCLMC_01599,,,,,HFCAGB_01354,,
group_2845,,hypothetical protein,,,,,,AJBGEP_04858,HFCAGB_04829,,
group_2844,,hypothetical protein,,IKCLMC_00917,,,,,HFCAGB_01349,,
group_2831,,Phage holin lambda family,,,,,LNHIMF_00666,AJBGEP_02131,,,
group_2830,,DUF4113 domain-containing protein,,IKCLMC_04317,PKJKAM_04321,,,,,,
group_2829,,hypothetical protein,,IKCLMC_03308,,,,,HFCAGB_04748,,
arsD,arsD,arsenite efflux transporter metallochaperone ArsD,,IKCLMC_02021,,,,,,,BEJGEH_02019
yiaW,yiaW,Inner membrane protein YiaW,ONMMKP_03147,,,,,,,,BEJGEH_03721
stm2239,stm2239,antiterminator Q family protein,,,,ODDLKH_02736,,AJBGEP_02402,,,
group_2729,,hypothetical protein,,,,,LNHIMF_02082,,,,BEJGEH_02023
group_2727,,Putative PTS system glucitol/sorbitol-specific IIA component,,,,ODDLKH_03160,,AJBGEP_02896,,,
arsR,arsR,ArsR family transcriptional regulator,,IKCLMC_02019,,,,,,,BEJGEH_02021
group_2717,,hypothetical protein,,,,,,,HFCAGB_02939,GEGEGB_03602,
group_2716,,hypothetical protein,,,,,,,HFCAGB_01216,,BEJGEH_01068
group_2714,,DUF1353 domain-containing protein,,,,,LNHIMF_01284,,,GEGEGB_01179,
group_2681,,Prophage protein,,IKCLMC_00289,,,,AJBGEP_02817,,,
group_2672,,Phage holin,,,,,LNHIMF_04285,,,GEGEGB_02003,
rusA,rusA,Crossover junction endodeoxyribonuclease rusA,,,,,LNHIMF_00590,,HFCAGB_00613,,
group_2655,,Helix-turn-helix domain-containing protein,,IKCLMC_00291,,,,AJBGEP_02815,,,
group_2654,,DNA-binding protein,,IKCLMC_00216,,,,,HFCAGB_01359,,
group_2645,,hypothetical protein,,,,,,AJBGEP_01037,HFCAGB_01383,,
group_2639,,Phage tail protein,,,,,,AJBGEP_01035,HFCAGB_01381,,
group_2627,,Transcriptional regulator XRE family,,,,,,,HFCAGB_01056,GEGEGB_02022,
group_2616,,hypothetical protein,,,,,LNHIMF_04314,,,GEGEGB_04540,
group_2611,,Transcriptional regulator,,,,,LNHIMF_02193,AJBGEP_01006,,,
tssE,tssE,Type VI secretion system baseplate subunit TssE,,,,,,,HFCAGB_01202,,BEJGEH_01056
group_2562,,hypothetical protein,ONMMKP_02929,,,,,,,,BEJGEH_03892
group_2547,,Phage tail protein,,,,,,,HFCAGB_02937,GEGEGB_03604,
group_2541,,Terminase,ONMMKP_00756,,,,LNHIMF_00601,,,,
group_2518,,hypothetical protein,,IKCLMC_03306,,,,,HFCAGB_04750,,
group_2515,,Cytoplasmic protein,,,,ODDLKH_02730,,AJBGEP_02396,,,
group_2445,,Head completion-stabilization protein,ONMMKP_04158,,,,,,,GEGEGB_04553,
group_2435,,Restriction endonuclease type IV Mrr domain-containing protein,,IKCLMC_03307,,,,,HFCAGB_04749,,
group_2408,,Methyltransferase family protein,,,,,,,HFCAGB_01063,GEGEGB_02015,
sarA,sarA,anti-inflammatory response activator SarA,,IKCLMC_01214,,,,AJBGEP_02761,,,
group_2398,,Arsenate reductase,,IKCLMC_02020,,,,,,,BEJGEH_02020
group_2368,,Cytoplasmic protein,,,,,,AJBGEP_04855,HFCAGB_04832,,
group_2367,,CaiF/GrlA family transcriptional regulator,,,,,,AJBGEP_04836,HFCAGB_04849,,
group_2359,,Transposase,,,,,LNHIMF_04627,,,GEGEGB_04861,
group_2349,,Saf-pilin pilus formation protein domain-containing protein,,IKCLMC_02082,,,,,,GEGEGB_02692,
sefA,sefA,SEF14 fimbria major subunit SefA,,,,,,,HFCAGB_04702,7_refound_84_pseudo,
group_2339,,hypothetical protein,,,,,,AJBGEP_01041,HFCAGB_01387,,
cdiI,cdiI,CdiI family contact-dependent growth inhibition immunity protein,,,,,,,,GEGEGB_00770,BEJGEH_02165
group_2325,,Spanin inner membrane subunit,,,,,,AJBGEP_01026,HFCAGB_01372,,
group_2319,,Type VI secretion system contractile sheath small subunit,,,,,,,HFCAGB_01205,,BEJGEH_01059
group_2315,,Eaa protein,,IKCLMC_00912,,ODDLKH_01646,,,,,
group_2313,,Phage head completion protein,ONMMKP_04117,,PKJKAM_01856,,,,,,
group_2304,,Phage tail protein,ONMMKP_04118,,PKJKAM_01857,,,,,,
group_2299,,Uncharacterized protein pSLT049,,,,,,AJBGEP_04857,HFCAGB_04830,,
group_2293,,Lysozyme,,,,,,,HFCAGB_02940,GEGEGB_03601,
group_2286,,Tail assembly chaperone gp38,,IKCLMC_01030,PKJKAM_01338,,,,,,
hcp2,hcp2,Type VI secretion system protein Hcp family,,,,,,,HFCAGB_01207,,BEJGEH_01060
group_2273,,hypothetical protein,,,,ODDLKH_02733,,AJBGEP_02399,,,
group_2265,,hypothetical protein,,,,,,AJBGEP_04833,HFCAGB_04852,,
group_2263,,PTS glucitol/sorbitol transporter subunit IIC,,,,ODDLKH_03159,,AJBGEP_02895,,,
group_2257,,Putative exported protein,,,,,,,,GEGEGB_03191,BEJGEH_03131
group_2248,,Tail fiber assembly protein,,,,,,,HFCAGB_02929,,BEJGEH_02716
group_2247,,Tail fiber assembly protein,,,,ODDLKH_02731,,AJBGEP_02397,,,
group_2230,,Type VI secretion protein,,,,,,,HFCAGB_01198,,BEJGEH_01052
sodC1,sodC1,superoxide dismutase [Cu-Zn] SodC1,,,,,,AJBGEP_01042,HFCAGB_01388,,
cshA,cshA,CshA minor pilin,,,,ODDLKH_00180,LNHIMF_04398,,,,
group_2214,,Lysozyme,,IKCLMC_00945,,,,AJBGEP_01277,,,
group_2203,,TtsA-like Glycoside hydrolase family 108 domain-containing protein,,,,,LNHIMF_01283,,,GEGEGB_01178,
group_2163,,DNA-binding protein,,,,,,AJBGEP_02144,HFCAGB_02213,,
group_2160,,DUF1133 domain-containing protein,,IKCLMC_00933,,,,AJBGEP_01267,,,
bfpA,bfpA,type IV pilus major subunit protein BfpA,,,,,,,HFCAGB_02237,,BEJGEH_01976
yagU,yagU,Inner membrane protein yagU,,,,,LNHIMF_04475,,,,BEJGEH_04456
yadL,yadL,Putative fimbrial-like protein YadL,ONMMKP_01986,,PKJKAM_00750,,,,,,
group_2149,,Integrase-like protein y4lS,,,,,,AJBGEP_04853,HFCAGB_04834,,
group_2148,,Inverse autotransporter beta-domain domain-containing protein,,,,,,AJBGEP_04839,HFCAGB_04848,,
group_2139,,KilA-N DNA-binding domain-containing protein,,IKCLMC_00307,,,,AJBGEP_02799,,,
group_2130,,DUF2913 domain-containing protein,,,,,,AJBGEP_04859,HFCAGB_04828,,
group_2129,,Phage tail protein,,,,,,AJBGEP_01034,HFCAGB_01380,,
group_2128,,6-phospho 3-hexuloisomerase,,,,ODDLKH_03165,,AJBGEP_02901,,,
group_2102,,Fimbrial protein,ONMMKP_01985,,PKJKAM_00749,,,,,,
group_2100,,Restriction endonuclease subunit M,,IKCLMC_03303,,,,,HFCAGB_04754,,
group_2095,,tail fiber assembly protein,,IKCLMC_01212,,,,AJBGEP_02763,,,
group_2047,,hypothetical protein,,,,ODDLKH_03175,,AJBGEP_02912,,,
group_2039,,Fimbrial protein,ONMMKP_01987,,PKJKAM_00751,,,,,,
stkA,stkA,Stk fimbria major subunit StkA,ONMMKP_01982,,PKJKAM_00746,,,,,,
group_2017,ninG,Protein ninG,,IKCLMC_02372,PKJKAM_03169,,,,,,
group_2009,,Transferase hexapeptide (Six repeat-containing protein),,IKCLMC_01937,PKJKAM_04080,,,,,,
group_1987,,Integrase catalytic domain-containing protein,,,,,,,HFCAGB_02967,,BEJGEH_04585
group_1960,,Prophage protein,,IKCLMC_00297,,,,AJBGEP_02809,,,
group_1955,,3-hexulose-6-phosphate synthase,,,,ODDLKH_03164,,AJBGEP_02900,,,
group_1948,,Cytoplasmic protein,,,,ODDLKH_03179,,AJBGEP_02916,,,
group_1947,,hypothetical protein,,,,ODDLKH_03150,,AJBGEP_02886,,,
group_1938,,hypothetical protein,,,,,LNHIMF_04584,,,,BEJGEH_04626
group_1919,,DUF943 domain-containing protein,,,,,,,,GEGEGB_03192,BEJGEH_03132
group_1916,,Terminase endonuclease subunit,,,,,,,HFCAGB_02944,GEGEGB_03597,
spvD,spvD,SPI-2 type III secretion system effector cysteine hydrolase SpvD,,,,,,AJBGEP_04842,HFCAGB_04845,,
group_1910,,Lipoprotein,,,,,,,,GEGEGB_04135,BEJGEH_03625
group_1902,,Gp17,ONMMKP_00742,,,,LNHIMF_00615,,,,
group_1889,,hypothetical protein,,IKCLMC_00288,,,,AJBGEP_02818,,,
group_1869,,Peptidase,,,,ODDLKH_02728,,AJBGEP_02394,,,
tetRA,tetR(A),tetracycline resistance transcriptional repressor TetR(A),,,PKJKAM_04036,,LNHIMF_04682,,,,
group_1845,,Fimbrial assembly protein,,,,,LNHIMF_02294,,HFCAGB_02415,,
group_1815,,Phage repressor protein,,,,,,AJBGEP_02146,HFCAGB_02215,,
group_1814,,phage minor tail protein L,,,,,,AJBGEP_01043,HFCAGB_01389,,
group_1812,,Phage replication protein,,IKCLMC_00295,,,,AJBGEP_02811,,,
group_1804,,DUF550 domain-containing protein,,IKCLMC_00296,,,,AJBGEP_02810,,,
group_1803,,hypothetical protein,ONMMKP_04379,,PKJKAM_02831,,,,,,
group_1794,,Terminase,ONMMKP_04116,,PKJKAM_01855,,,,,,
group_1781,,Phage protein,ONMMKP_04119,,PKJKAM_01858,,,,,,
group_1757,,HTH gntR-type domain-containing protein,ONMMKP_00421,,,,,,,,BEJGEH_01452
spvC,spvC,type III secretion system effector phosphothreonine lyase SpvC,,,,,,AJBGEP_04843,HFCAGB_04844,,
pltA,pltA,typhoid-like toxin S-CDT ADP-ribosylating subunit PltA,,,,,LNHIMF_01282,,,GEGEGB_01177,
group_1733,,KilA-N domain-containing protein,ONMMKP_00741,,,,LNHIMF_00616,,,,
group_1722,,DNA-binding protein,,,,,,,HFCAGB_02249,,BEJGEH_01987
group_1717,,Type VI secretion-associated protein VC_A0118 family,,,,,,,HFCAGB_01194,,BEJGEH_01048
mig5,mig-5,putative carbonic anhydrase,,,,,,AJBGEP_04854,HFCAGB_04833,,
