Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1,GCF_000170215.1,GCF_000020745.1,GCF_000022165.1,GCF_000020925.1,GCF_000007545.1,GCF_000020885.1
fumB,fumB,class I fumarate hydratase,9,9,1.0,1,471,,,,1647,1647,1647.0,ONMMKP_00581,IKCLMC_04726,PKJKAM_00188,ODDLKH_01946,LNHIMF_01519,AJBGEP_01548,HFCAGB_01810,GEGEGB_01409,BEJGEH_01617
group_322,,Cytoplasmic trehalase,9,9,1.0,1,469,,,,1650,1650,1650.0,ONMMKP_03235,IKCLMC_02805,PKJKAM_03777,ODDLKH_04043,LNHIMF_03638,AJBGEP_03782,HFCAGB_03838,GEGEGB_04128,BEJGEH_03634
group_321,,Glucose-6-phosphate isomerase,9,9,1.0,1,468,,,,1650,1650,1650.0,ONMMKP_02564,IKCLMC_01053,PKJKAM_01316,ODDLKH_00080,LNHIMF_04236,AJBGEP_04419,HFCAGB_04450,GEGEGB_04352,BEJGEH_04274
actP,actP,Cation/acetate symporter ActP,9,9,1.0,1,467,,,,1650,1650,1650.0,ONMMKP_02512,IKCLMC_01106,PKJKAM_01263,ODDLKH_00133,LNHIMF_04350,AJBGEP_04472,HFCAGB_04503,GEGEGB_04406,BEJGEH_04327
sapA,sapA,peptide ABC transporter substrate-binding protein SapA,9,9,1.0,1,466,,,,1650,1650,1650.0,ONMMKP_00346,IKCLMC_04497,PKJKAM_04500,ODDLKH_02178,LNHIMF_01753,AJBGEP_01782,HFCAGB_01586,GEGEGB_01687,BEJGEH_01376
group_320,,Trehalose-6-phosphate hydrolase,9,9,1.0,1,465,,,,1653,1653,1653.0,ONMMKP_02334,IKCLMC_03395,PKJKAM_02267,ODDLKH_00322,LNHIMF_04520,AJBGEP_04651,HFCAGB_04661,GEGEGB_04724,BEJGEH_04519
group_319,,Hydroxylamine reductase,9,9,1.0,1,464,,,,1653,1653,1653.0,ONMMKP_01206,IKCLMC_01527,PKJKAM_01008,ODDLKH_01394,LNHIMF_01028,AJBGEP_00929,HFCAGB_00984,GEGEGB_02100,BEJGEH_00894
citA,citA,Sensor histidine kinase CitA,9,9,1.0,1,462,,,,1659,1659,1659.0,ONMMKP_02124,IKCLMC_03174,PKJKAM_02068,ODDLKH_00530,LNHIMF_00055,AJBGEP_00055,HFCAGB_00057,GEGEGB_00058,BEJGEH_00056
group_317,,Putative substrate-binding protein,9,9,1.0,1,461,,,,1659,1659,1659.0,ONMMKP_02069,IKCLMC_03118,PKJKAM_02012,ODDLKH_00586,LNHIMF_00111,AJBGEP_00113,HFCAGB_00109,GEGEGB_00118,BEJGEH_00115
ybjD,ybjD,Uncharacterized protein YbjD,9,9,1.0,1,460,,,,1659,1659,1659.0,ONMMKP_01204,IKCLMC_01529,PKJKAM_01006,ODDLKH_01396,LNHIMF_01030,AJBGEP_00931,HFCAGB_00986,GEGEGB_02098,BEJGEH_00896
ychM,ychM,Sulfate transporter YchM,9,9,1.0,1,459,,,,1659,1659,1659.0,ONMMKP_00255,IKCLMC_04407,PKJKAM_04408,ODDLKH_02269,LNHIMF_01848,AJBGEP_01872,HFCAGB_01495,GEGEGB_01162,BEJGEH_01286
recN,recN,DNA repair protein RecN,9,9,1.0,1,458,,,,1662,1662,1662.0,ONMMKP_04195,IKCLMC_04145,PKJKAM_02643,ODDLKH_03138,LNHIMF_02766,AJBGEP_02874,HFCAGB_02911,GEGEGB_02771,BEJGEH_02699
yidE,yidE,Putative transport protein YidE,9,9,1.0,1,457,,,,1662,1662,1662.0,ONMMKP_03024,IKCLMC_02601,PKJKAM_03568,ODDLKH_04255,LNHIMF_03852,AJBGEP_03996,HFCAGB_04051,GEGEGB_03910,BEJGEH_03855
group_315,,Flagellar hook-associated protein 1,9,9,1.0,1,455,,,,1662,1662,1662.0,ONMMKP_00952,IKCLMC_00853,PKJKAM_00576,ODDLKH_01587,LNHIMF_01216,AJBGEP_01183,HFCAGB_02114,GEGEGB_01833,BEJGEH_01910
group_314,,Methyl-accepting chemotaxis protein II,9,9,1.0,1,454,,,,1662,1662,1662.0,ONMMKP_00107,IKCLMC_04249,PKJKAM_04253,ODDLKH_02411,LNHIMF_01993,AJBGEP_02017,HFCAGB_01293,GEGEGB_01019,BEJGEH_01145
pduC,pduC,propanediol dehydratase large subunit PduC,9,9,1.0,1,451,,,,1665,1665,1665.0,ONMMKP_04792,IKCLMC_01991,PKJKAM_04132,ODDLKH_02531,LNHIMF_02116,AJBGEP_02198,HFCAGB_02297,GEGEGB_00883,BEJGEH_02057
group_311,,Asparagine synthetase B [glutamine-hydrolyzing],9,9,1.0,1,449,,,,1665,1665,1665.0,ONMMKP_01473,IKCLMC_00477,PKJKAM_00357,ODDLKH_01172,LNHIMF_00819,AJBGEP_00705,HFCAGB_00774,GEGEGB_02309,BEJGEH_00693
hilA,hilA,transcriptional regulator HilA,9,9,1.0,1,448,,,,1668,1668,1668.0,ONMMKP_03987,IKCLMC_04009,PKJKAM_02521,ODDLKH_03294,LNHIMF_02909,AJBGEP_03032,HFCAGB_03081,GEGEGB_02916,BEJGEH_02863
ettA,ettA,Energy-dependent translational throttle protein EttA,9,9,1.0,1,447,,,,1668,1668,1668.0,ONMMKP_02197,IKCLMC_03248,PKJKAM_02143,ODDLKH_00456,LNHIMF_04633,AJBGEP_04784,HFCAGB_04806,GEGEGB_04867,BEJGEH_04673
group_310,,Glutamine--tRNA ligase,9,9,1.0,1,446,,,,1668,1668,1668.0,ONMMKP_01467,IKCLMC_00471,PKJKAM_00351,ODDLKH_01178,LNHIMF_00825,AJBGEP_00711,HFCAGB_00780,GEGEGB_02303,BEJGEH_00699
group_309,,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,9,9,1.0,1,445,,,,1671,1671,1671.0,ONMMKP_04524,IKCLMC_01712,PKJKAM_02975,ODDLKH_02810,LNHIMF_02442,AJBGEP_02476,HFCAGB_02568,GEGEGB_00594,BEJGEH_02332
group_307,,30S ribosomal protein S1,9,9,1.0,1,443,,,,1674,1674,1674.0,ONMMKP_01163,IKCLMC_01569,PKJKAM_00967,ODDLKH_01436,LNHIMF_01068,AJBGEP_00973,HFCAGB_01025,GEGEGB_02057,BEJGEH_00938
ybaL,ybaL,Putative cation/proton antiporter YbaL,9,9,1.0,1,442,,,,1677,1677,1677.0,ONMMKP_01662,IKCLMC_02276,PKJKAM_03264,ODDLKH_00978,LNHIMF_00517,AJBGEP_00512,HFCAGB_00517,GEGEGB_02491,BEJGEH_00504
group_305,,flotillin family protein,9,9,1.0,1,440,,,,1680,1680,1680.0,ONMMKP_03631,IKCLMC_03675,PKJKAM_01890,ODDLKH_03626,LNHIMF_03243,AJBGEP_03366,HFCAGB_03422,GEGEGB_03273,BEJGEH_03218
bcsG,bcsG,Cellulose biosynthesis protein BcsG,9,9,1.0,1,439,,,,1680,1680,1680.0,ONMMKP_03213,IKCLMC_02783,PKJKAM_03755,ODDLKH_04065,LNHIMF_03659,AJBGEP_03804,HFCAGB_03860,GEGEGB_04105,BEJGEH_03656
group_303,,Potassium-transporting ATPase subunit A,9,9,1.0,1,436,,,,1680,1680,1680.0,ONMMKP_01446,IKCLMC_00450,PKJKAM_00420,ODDLKH_01199,LNHIMF_00847,AJBGEP_00732,HFCAGB_00801,GEGEGB_02280,BEJGEH_00720
group_301,,Flagellar M-ring protein,9,9,1.0,1,434,,,,1683,1683,1683.0,ONMMKP_00061,IKCLMC_04203,PKJKAM_04206,ODDLKH_02458,LNHIMF_02039,AJBGEP_02066,HFCAGB_01247,GEGEGB_00973,BEJGEH_01098
btsS,btsS,Sensor histidine kinase BtsS,9,9,1.0,1,433,,,,1686,1686,1686.0,ONMMKP_04668,IKCLMC_01853,PKJKAM_03983,ODDLKH_02657,LNHIMF_02303,AJBGEP_02323,HFCAGB_02424,GEGEGB_00741,BEJGEH_02193
group_300,,Urocanate hydratase,9,9,1.0,1,432,,,,1686,1686,1686.0,ONMMKP_01320,IKCLMC_01408,PKJKAM_01121,ODDLKH_01282,LNHIMF_00920,AJBGEP_00815,HFCAGB_00870,GEGEGB_02207,BEJGEH_00791
ybjL,ybjL,Putative transport protein YbjL,9,9,1.0,1,430,,,,1686,1686,1686.0,ONMMKP_01235,IKCLMC_01498,PKJKAM_01037,ODDLKH_01365,LNHIMF_00999,AJBGEP_00900,HFCAGB_00955,GEGEGB_02129,BEJGEH_00865
invG,invG,type III secretion system outer membrane ring protein InvG,9,9,1.0,1,429,,,,1689,1689,1689.0,ONMMKP_03964,IKCLMC_03987,PKJKAM_02499,ODDLKH_03316,LNHIMF_02931,AJBGEP_03054,HFCAGB_03103,GEGEGB_02938,BEJGEH_02885
group_298,,Acetolactate synthase,9,9,1.0,1,428,,,,1689,1689,1689.0,ONMMKP_03037,IKCLMC_02615,PKJKAM_03581,ODDLKH_04242,LNHIMF_03839,AJBGEP_03983,HFCAGB_04038,GEGEGB_03924,BEJGEH_03842
group_297,,NAD-dependent malic enzyme,9,9,1.0,1,426,,,,1698,1698,1698.0,ONMMKP_00479,IKCLMC_04626,PKJKAM_04629,ODDLKH_02050,LNHIMF_01625,AJBGEP_01652,HFCAGB_01717,GEGEGB_01561,BEJGEH_01512
narQ,narQ,Nitrate/nitrite sensor protein NarQ,9,9,1.0,1,425,,,,1701,1701,1701.0,ONMMKP_04353,IKCLMC_01325,PKJKAM_02805,ODDLKH_02983,LNHIMF_02609,AJBGEP_02651,HFCAGB_02749,GEGEGB_00414,BEJGEH_02504
group_296,,Amidohydrolase 3 domain-containing protein,9,9,1.0,1,424,,,,1701,1701,1701.0,ONMMKP_00577,IKCLMC_04721,PKJKAM_00184,ODDLKH_01950,LNHIMF_01523,AJBGEP_01552,HFCAGB_01806,GEGEGB_01413,BEJGEH_01613
group_294,,Hydrogenase-2 large chain,9,9,1.0,1,422,,,,1704,1704,1704.0,ONMMKP_03684,IKCLMC_03728,PKJKAM_01942,ODDLKH_03574,LNHIMF_03190,AJBGEP_03314,HFCAGB_03370,GEGEGB_03217,BEJGEH_03157
dsbD,dsbD,Thiol:disulfide interchange protein DsbD,9,9,1.0,1,421,,,,1704,1704,1704.0,ONMMKP_02460,IKCLMC_01157,PKJKAM_01213,ODDLKH_00195,LNHIMF_04413,AJBGEP_04522,HFCAGB_04551,GEGEGB_04610,BEJGEH_04391
hycE,hycE,formate hydrogenlyase subunit HycE,9,9,1.0,1,418,,,,1710,1710,1710.0,ONMMKP_04016,IKCLMC_04037,PKJKAM_02549,ODDLKH_03266,LNHIMF_02881,AJBGEP_03004,HFCAGB_03053,GEGEGB_02890,BEJGEH_02835
yhgE,yhgE,Uncharacterized protein YhgE,9,9,1.0,1,417,,,,1710,1710,1710.0,ONMMKP_03332,IKCLMC_02912,PKJKAM_03874,ODDLKH_03936,LNHIMF_03544,AJBGEP_03674,HFCAGB_03728,GEGEGB_04226,BEJGEH_03526
yicH,yicH,AsmA family protein YicH,9,9,1.0,1,416,,,,1710,1710,1710.0,ONMMKP_03082,IKCLMC_02654,PKJKAM_03626,ODDLKH_04194,LNHIMF_03791,AJBGEP_03934,HFCAGB_03990,GEGEGB_03979,BEJGEH_03787
group_291,,Ribulokinase,9,9,1.0,1,415,,,,1710,1710,1710.0,ONMMKP_02075,IKCLMC_03124,PKJKAM_02018,ODDLKH_00580,LNHIMF_00105,AJBGEP_00107,HFCAGB_00103,GEGEGB_00112,BEJGEH_00109
group_289,,Putative sulfite reductase [NADPH] hemoprotein beta-component,9,9,1.0,1,413,,,,1713,1713,1713.0,ONMMKP_03915,IKCLMC_03938,PKJKAM_02448,ODDLKH_03365,LNHIMF_02977,AJBGEP_03103,HFCAGB_03152,GEGEGB_02985,BEJGEH_02939
dgcQ,dgcQ,putative diguanylate cyclase DgcQ,9,9,1.0,1,412,,,,1713,1713,1713.0,ONMMKP_00043,IKCLMC_04185,PKJKAM_04188,ODDLKH_02476,LNHIMF_02057,AJBGEP_02084,HFCAGB_01229,GEGEGB_00955,BEJGEH_01080
group_286,,Proline--tRNA ligase,9,9,1.0,1,408,,,,1719,1719,1719.0,ONMMKP_01916,IKCLMC_02974,PKJKAM_00172,ODDLKH_00728,LNHIMF_00253,AJBGEP_00256,HFCAGB_00256,GEGEGB_00264,BEJGEH_00266
group_285,,Pyruvate dehydrogenase [ubiquinone],9,9,1.0,1,407,,,,1719,1719,1719.0,ONMMKP_01208,IKCLMC_01525,PKJKAM_01010,ODDLKH_01392,LNHIMF_01026,AJBGEP_00927,HFCAGB_00982,GEGEGB_02102,BEJGEH_00892
group_284,,ABC-type xenobiotic transporter,9,9,1.0,1,406,,,,1722,1722,1722.0,ONMMKP_01188,IKCLMC_01544,PKJKAM_00992,ODDLKH_01411,LNHIMF_01043,AJBGEP_00948,HFCAGB_01000,GEGEGB_02083,BEJGEH_00914
group_283,,Acetolactate synthase isozyme 3 large subunit,9,9,1.0,1,405,,,,1725,1725,1725.0,ONMMKP_02059,IKCLMC_03108,PKJKAM_02003,ODDLKH_00595,LNHIMF_00120,AJBGEP_00122,HFCAGB_00119,GEGEGB_00127,BEJGEH_00124
group_282,,Phosphoenolpyruvate-protein phosphotransferase,9,9,1.0,1,404,,,,1728,1728,1728.0,ONMMKP_04399,IKCLMC_01371,PKJKAM_02850,ODDLKH_02936,LNHIMF_02565,AJBGEP_02602,HFCAGB_02702,GEGEGB_00461,BEJGEH_02457
group_281,,Quinone-dependent D-lactate dehydrogenase,9,9,1.0,1,403,,,,1731,1731,1731.0,ONMMKP_04660,IKCLMC_01845,PKJKAM_03975,ODDLKH_02665,LNHIMF_02311,AJBGEP_02331,HFCAGB_02432,GEGEGB_00733,BEJGEH_02201
group_279,,Sulfatase N-terminal domain-containing protein,9,9,1.0,1,401,,,,1734,1734,1734.0,ONMMKP_02665,IKCLMC_00790,PKJKAM_01382,ODDLKH_04568,LNHIMF_04156,AJBGEP_04318,HFCAGB_04367,GEGEGB_03689,BEJGEH_04169
tamA,tamA,autotransporter assembly complex protein TamA,9,9,1.0,1,400,,,,1734,1734,1734.0,ONMMKP_02376,IKCLMC_03419,PKJKAM_02311,ODDLKH_00280,LNHIMF_04496,AJBGEP_04607,HFCAGB_04637,GEGEGB_04699,BEJGEH_04477
nhaP2,nhaP2,K(+)/H(+) antiporter NhaP2,9,9,1.0,1,399,,,,1734,1734,1734.0,ONMMKP_00235,IKCLMC_04385,PKJKAM_04388,ODDLKH_02289,LNHIMF_01869,AJBGEP_01892,HFCAGB_01474,GEGEGB_01139,BEJGEH_01264
group_278,,Arginine--tRNA ligase,9,9,1.0,1,398,,,,1734,1734,1734.0,ONMMKP_00118,IKCLMC_04260,PKJKAM_04263,ODDLKH_02400,LNHIMF_01982,AJBGEP_02007,HFCAGB_01303,GEGEGB_01030,BEJGEH_01155
ybhF,ybhF,putative multidrug ABC transporter ATP-binding protein YbhF,9,9,1.0,1,396,,,,1737,1737,1737.0,ONMMKP_01294,IKCLMC_01434,PKJKAM_01095,ODDLKH_01308,LNHIMF_00945,AJBGEP_00844,HFCAGB_00897,GEGEGB_02180,BEJGEH_00817
group_275,,Glutathione hydrolase proenzyme,9,9,1.0,1,393,,,,1743,1743,1743.0,ONMMKP_03287,IKCLMC_02857,PKJKAM_03829,ODDLKH_03991,LNHIMF_03587,AJBGEP_03730,HFCAGB_03785,GEGEGB_04186,BEJGEH_03582
group_273,,DNA primase,9,9,1.0,1,391,,,,1746,1746,1746.0,ONMMKP_03619,IKCLMC_03663,PKJKAM_01878,ODDLKH_03638,LNHIMF_03255,AJBGEP_03378,HFCAGB_03434,GEGEGB_03285,BEJGEH_03230
group_272,ftsI,Peptidoglycan DD-transpeptidase FtsI,9,9,1.0,1,390,,,,1746,1746,1746.0,ONMMKP_00200,IKCLMC_04350,PKJKAM_04353,ODDLKH_02324,LNHIMF_01904,AJBGEP_01929,HFCAGB_01439,GEGEGB_01104,BEJGEH_01229
msbA,msbA,Lipid A export ATP-binding/permease MsbA,9,9,1.0,1,389,,,,1749,1749,1749.0,ONMMKP_01160,IKCLMC_01572,PKJKAM_00964,ODDLKH_01439,LNHIMF_01071,AJBGEP_00976,HFCAGB_01028,GEGEGB_02054,BEJGEH_00941
group_271,,Long-chain-fatty-acid--CoA ligase,9,9,1.0,1,388,,,,1752,1752,1752.0,ONMMKP_00217,IKCLMC_04367,PKJKAM_04370,ODDLKH_02307,LNHIMF_01887,AJBGEP_01912,HFCAGB_01456,GEGEGB_01121,BEJGEH_01246
group_269,,Large ribosomal subunit protein bL25,9,9,1.0,1,386,,,,1761,1761,1761.0,ONMMKP_04601,IKCLMC_01789,PKJKAM_03053,ODDLKH_02721,LNHIMF_02367,AJBGEP_02387,HFCAGB_02489,GEGEGB_00674,BEJGEH_02258
yejM,yejM,Inner membrane protein YejM,9,9,1.0,1,385,,,,1761,1761,1761.0,ONMMKP_04596,IKCLMC_01784,PKJKAM_03048,ODDLKH_02726,LNHIMF_02371,AJBGEP_02392,HFCAGB_02494,GEGEGB_00669,BEJGEH_02263
group_267,,endopeptidase La,9,9,1.0,1,383,,,,1761,1761,1761.0,ONMMKP_01070,IKCLMC_00590,PKJKAM_00072,ODDLKH_01470,LNHIMF_01099,AJBGEP_01066,HFCAGB_01115,GEGEGB_01957,BEJGEH_00972
ftsI,ftsI,peptidoglycan glycosyltransferase FtsI,9,9,1.0,1,381,,,,1767,1767,1767.0,ONMMKP_02053,IKCLMC_03102,PKJKAM_01997,ODDLKH_00601,LNHIMF_00126,AJBGEP_00128,HFCAGB_00125,GEGEGB_00133,BEJGEH_00130
group_265,,Succinate dehydrogenase flavoprotein subunit,9,9,1.0,1,380,,,,1767,1767,1767.0,ONMMKP_01420,IKCLMC_00424,PKJKAM_00434,ODDLKH_01225,LNHIMF_00872,AJBGEP_00758,HFCAGB_00814,GEGEGB_02253,BEJGEH_00734
group_264,,ABC transmembrane type-1 domain-containing protein,9,9,1.0,1,379,,,,1767,1767,1767.0,ONMMKP_01187,IKCLMC_01545,PKJKAM_00991,ODDLKH_01412,LNHIMF_01044,AJBGEP_00949,HFCAGB_01001,GEGEGB_02082,BEJGEH_00915
group_262,,ABC transporter ATP-binding protein/permease,9,9,1.0,1,377,,,,1773,1773,1773.0,ONMMKP_01693,IKCLMC_02244,PKJKAM_03296,ODDLKH_00947,LNHIMF_00485,AJBGEP_00481,HFCAGB_00486,GEGEGB_02522,BEJGEH_00469
group_261,,Aspartate--tRNA(Asp/Asn) ligase,9,9,1.0,1,376,,,,1773,1773,1773.0,ONMMKP_00127,IKCLMC_04269,PKJKAM_04272,ODDLKH_02391,LNHIMF_01973,AJBGEP_01998,HFCAGB_01312,GEGEGB_01039,BEJGEH_01164
ttrS,ttrS,two-component system sensor histidine kinase TtrS,9,9,1.0,1,373,,,,1779,1779,1779.0,ONMMKP_00663,IKCLMC_04809,PKJKAM_00847,ODDLKH_01863,LNHIMF_01434,AJBGEP_01466,HFCAGB_01895,GEGEGB_01327,BEJGEH_01700
sipB,sipB,SPI-1 type III secretion system needle tip complex protein SipB,9,9,1.0,1,371,,,,1782,1782,1782.0,ONMMKP_03977,IKCLMC_04000,PKJKAM_02512,ODDLKH_03303,LNHIMF_02918,AJBGEP_03041,HFCAGB_03090,GEGEGB_02925,BEJGEH_02872
mdlB,mdlB,Multidrug resistance-like ATP-binding protein MdlB,9,9,1.0,1,370,,,,1782,1782,1782.0,ONMMKP_01692,IKCLMC_02245,PKJKAM_03295,ODDLKH_00948,LNHIMF_00486,AJBGEP_00482,HFCAGB_00487,GEGEGB_02521,BEJGEH_00470
group_256,,Malto-oligosyltrehalose trehalohydrolase,9,9,1.0,1,367,,,,1785,1785,1785.0,ONMMKP_00485,IKCLMC_04632,PKJKAM_04635,ODDLKH_02044,LNHIMF_01617,AJBGEP_01646,HFCAGB_01723,GEGEGB_01553,BEJGEH_01518
group_254,,Solute-binding protein family 5 domain-containing protein,9,9,1.0,1,365,,,,1791,1791,1791.0,ONMMKP_02919,IKCLMC_02547,PKJKAM_01640,ODDLKH_04305,LNHIMF_03901,AJBGEP_04054,HFCAGB_04102,GEGEGB_03861,BEJGEH_03904
group_253,,Fumarate reductase flavoprotein subunit,9,9,1.0,1,364,,,,1791,1791,1791.0,ONMMKP_02442,IKCLMC_01176,PKJKAM_01195,ODDLKH_00214,LNHIMF_04431,AJBGEP_04541,HFCAGB_04569,GEGEGB_04629,BEJGEH_04410
group_252,,Uptake hydrogenase large subunit,9,9,1.0,1,363,,,,1794,1794,1794.0,ONMMKP_00249,IKCLMC_04399,PKJKAM_04402,ODDLKH_02275,LNHIMF_01855,AJBGEP_01878,HFCAGB_01488,GEGEGB_01155,BEJGEH_01278
group_249,assT,Arylsulfate sulfotransferase AssT,9,9,1.0,1,360,,,,1797,1797,1797.0,ONMMKP_03638,IKCLMC_03682,PKJKAM_01897,ODDLKH_03619,LNHIMF_03234,AJBGEP_03359,HFCAGB_03415,GEGEGB_03266,BEJGEH_03208
group_248,,Sensor protein,9,9,1.0,1,359,,,,1797,1797,1797.0,ONMMKP_00270,IKCLMC_04422,PKJKAM_04423,ODDLKH_02253,LNHIMF_01833,AJBGEP_01857,HFCAGB_01510,GEGEGB_01767,BEJGEH_01301
group_247,,Elongation factor 4,9,9,1.0,1,357,,,,1800,1800,1800.0,ONMMKP_04243,IKCLMC_01216,PKJKAM_02693,ODDLKH_03090,LNHIMF_02717,AJBGEP_02759,HFCAGB_02863,GEGEGB_00296,BEJGEH_02618
group_246,,NADH-quinone oxidoreductase subunit C/D,9,9,1.0,1,356,,,,1803,1803,1803.0,ONMMKP_04507,IKCLMC_01693,PKJKAM_02959,ODDLKH_02828,LNHIMF_02458,AJBGEP_02494,HFCAGB_02586,GEGEGB_00577,BEJGEH_02350
yejA,yejA,Uncharacterized protein YejA,9,9,1.0,1,355,,,,1806,1806,1806.0,ONMMKP_04608,IKCLMC_01796,PKJKAM_03060,ODDLKH_02714,LNHIMF_02360,AJBGEP_02380,HFCAGB_02482,GEGEGB_00681,BEJGEH_02251
kefB,kefB,Glutathione-regulated potassium-efflux system protein KefB,9,9,1.0,1,354,,,,1806,1806,1806.0,ONMMKP_03374,IKCLMC_02954,PKJKAM_03918,ODDLKH_03894,LNHIMF_03502,AJBGEP_03630,HFCAGB_03686,GEGEGB_04271,BEJGEH_03480
group_243,,Phosphogluconate dehydratase,9,9,1.0,1,351,,,,1812,1812,1812.0,ONMMKP_00144,IKCLMC_04289,PKJKAM_04289,ODDLKH_02375,LNHIMF_01957,AJBGEP_01981,HFCAGB_01329,GEGEGB_01055,BEJGEH_01180
secD,secD,Protein translocase subunit SecD,9,9,1.0,1,350,,,,1815,1815,1815.0,ONMMKP_01748,IKCLMC_02189,PKJKAM_03351,ODDLKH_00892,LNHIMF_00434,AJBGEP_00426,HFCAGB_00430,GEGEGB_02583,BEJGEH_00416
assT,assT,Arylsulfate sulfotransferase AssT,9,9,1.0,1,349,,,,1824,1824,1824.0,ONMMKP_02801,IKCLMC_00485,PKJKAM_01521,ODDLKH_04425,LNHIMF_04020,AJBGEP_04175,HFCAGB_04220,GEGEGB_03492,BEJGEH_04027
bipA,bipA,Large ribosomal subunit assembly factor BipA,9,9,1.0,1,348,,,,1824,1824,1824.0,ONMMKP_02770,IKCLMC_00677,PKJKAM_01490,ODDLKH_04456,LNHIMF_04051,AJBGEP_04206,HFCAGB_04251,GEGEGB_03802,BEJGEH_04058
group_242,,RCK C-terminal domain-containing protein,9,9,1.0,1,347,,,,1827,1827,1827.0,ONMMKP_04501,IKCLMC_01687,PKJKAM_02953,ODDLKH_02834,LNHIMF_02464,AJBGEP_02500,HFCAGB_02593,GEGEGB_00571,BEJGEH_02356
group_241,,Formate hydrogenlyase subunit 3,9,9,1.0,1,346,,,,1827,1827,1827.0,ONMMKP_04014,IKCLMC_04035,PKJKAM_02547,ODDLKH_03268,LNHIMF_02883,AJBGEP_03006,HFCAGB_03055,GEGEGB_02892,BEJGEH_02837
group_240,,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],9,9,1.0,1,344,,,,1830,1830,1830.0,ONMMKP_02918,IKCLMC_02546,PKJKAM_01639,ODDLKH_04306,LNHIMF_03902,AJBGEP_04055,HFCAGB_04103,GEGEGB_03855,BEJGEH_03905
pduG,pduG,propanediol dehydratase reactivase alpha subunit PduG,9,9,1.0,1,343,,,,1833,1833,1833.0,ONMMKP_04789,IKCLMC_01988,PKJKAM_04129,ODDLKH_02534,LNHIMF_02119,AJBGEP_02201,HFCAGB_02300,GEGEGB_00880,BEJGEH_02060
recD,recD,RecBCD enzyme subunit RecD,9,9,1.0,1,341,,,,1836,1836,1836.0,ONMMKP_03860,IKCLMC_03889,PKJKAM_02394,ODDLKH_03415,LNHIMF_03027,AJBGEP_03152,HFCAGB_03207,GEGEGB_03043,BEJGEH_02995
group_236,,NADH-quinone oxidoreductase subunit L,9,9,1.0,1,338,,,,1842,1842,1842.0,ONMMKP_04515,IKCLMC_01701,PKJKAM_02967,ODDLKH_02820,LNHIMF_02450,AJBGEP_02486,HFCAGB_02578,GEGEGB_00585,BEJGEH_02342
group_235,,Vitamin B12 receptor protein,9,9,1.0,1,337,,,,1845,1845,1845.0,ONMMKP_02653,IKCLMC_00802,PKJKAM_01370,ODDLKH_04580,LNHIMF_04168,AJBGEP_04330,HFCAGB_04379,GEGEGB_03677,BEJGEH_04181
recQ,recQ,DNA helicase RecQ,9,9,1.0,1,336,,,,1848,1848,1848.0,ONMMKP_02824,IKCLMC_00508,PKJKAM_01544,ODDLKH_04402,LNHIMF_03997,AJBGEP_04152,HFCAGB_04197,GEGEGB_03515,BEJGEH_04004
group_234,,Putative peptidoglycan binding domain protein,9,9,1.0,1,335,,,,1851,1851,1851.0,ONMMKP_01149,IKCLMC_01583,PKJKAM_00138,ODDLKH_01450,LNHIMF_01082,AJBGEP_00987,HFCAGB_01039,GEGEGB_02042,BEJGEH_00952
hscA,hscA,Chaperone protein HscA,9,9,1.0,1,334,,,,1851,1851,1851.0,ONMMKP_04288,IKCLMC_01261,PKJKAM_02740,ODDLKH_03045,LNHIMF_02672,AJBGEP_02714,HFCAGB_02818,GEGEGB_00342,BEJGEH_02570
group_233,,Selenocysteine-specific elongation factor,9,9,1.0,1,333,,,,1851,1851,1851.0,ONMMKP_03151,IKCLMC_02721,PKJKAM_03693,ODDLKH_04126,LNHIMF_03717,AJBGEP_03866,HFCAGB_03922,GEGEGB_04048,BEJGEH_03717
group_232,,Dihydroxy-acid dehydratase,9,9,1.0,1,332,,,,1851,1851,1851.0,ONMMKP_02876,IKCLMC_00560,PKJKAM_01597,ODDLKH_04348,LNHIMF_03944,AJBGEP_04097,HFCAGB_04145,GEGEGB_03573,BEJGEH_03947
group_229,asmA,Outer membrane assembly protein AsmA,9,9,1.0,1,328,,,,1857,1857,1857.0,ONMMKP_04717,IKCLMC_01903,PKJKAM_04046,ODDLKH_02614,LNHIMF_02262,AJBGEP_02281,HFCAGB_02381,GEGEGB_00795,BEJGEH_02140
group_228,,Peptidase C51 domain-containing protein,9,9,1.0,1,327,,,,1857,1857,1857.0,ONMMKP_03692,IKCLMC_03736,PKJKAM_01950,ODDLKH_03566,LNHIMF_03182,AJBGEP_03306,HFCAGB_03361,GEGEGB_03209,BEJGEH_03149
mutL,mutL,DNA mismatch repair protein MutL,9,9,1.0,1,326,,,,1857,1857,1857.0,ONMMKP_02426,IKCLMC_03471,PKJKAM_01179,ODDLKH_00230,LNHIMF_04445,AJBGEP_04557,HFCAGB_04585,GEGEGB_04644,BEJGEH_04426
